toys,computer animation,pixar animation,kids and family,animation
original,chase,mentor,apocalypse,so bad it's funny
social commentary,original,touching,runaway,stand-up comedy
original,bad plot,teen movie,technology,mentor
original,family,predictable,twist,spelling bee
runaway,visually appealing,original,good soundtrack,gunfight
original,romantic comedy,girlie movie,family,culture clash
original,great ending,silly fun,mentor,catastrophe
social commentary,original,powerful ending,great acting,oscar
original,drama,suspense,mentor,great ending
murder,original,investigation,pornography,death
original,brutality,tense,california,drama
drama,original,crime,comedy,based on a book
original,mentor,sexualized violence,adapted from:book,british
high school,original,fun movie,friendship,romantic comedy
original,teen movie,friendship,based on a book,mentor
action,predictable,original,brutality,science fiction
original,pornography,goofy,predictable,good
dark humor,original,weird,dark comedy,good soundtrack
predictable,original,action,family,pg-13
animation,family,kids,original,fight scenes
suspense,original,predictable,pg-13,supernatural
chase,mentor,original,action,corruption
brutality,goofy,gunfight,mentor,original
satire,original,family,silly fun,pg-13
original,pg-13,catastrophe,predictable,science fiction
original,suspense,good,touching,complex
england,great ending,mentor,pg-13,based on book
drama,pornography,original,oscar,oscar (best directing)
girlie movie,teen movie,family,finnish,original
relationships,oscar (best directing),criterion,talky,oscar (best actress)
drama,suspense,original,crime,intense
culture clash,based on a book,family,visually appealing,comedy
action,original,predictable,mentor,catastrophe
gunfight,chase,mentor,original,girlie movie
sexualized violence,runaway,relationships,brutality,marriage
original,suspense,drama,cinematography,death
original,cult,horror,violence,brutality
touching,original,mentor,realistic,dramatic
original,love story,mentor,romantic,oscar
action,pg-13,silly,chase,plot
chase,women,original,predictable,action
depression,storytelling,dark humor,original,cerebral
action,espionage,mentor,betrayal,original
fantasy world,chase,original,women,pg-13
original,pornography,violence,murder,sexualized violence
silly fun,goofy,original,comedy,spy
original,drama,pornography,vengeance,relationships
drama,mentor,good,heartwarming,pg-13
pornography,supernatural,weird,original,nudity (full frontal - notable)
original,weird,twists & turns,horror,criterion
oscar,original,drama,melancholic,cinematography
pornography,original,psychological,insanity,weird
original,story,destiny,mentor,catastrophe
social commentary,original,political,propaganda,corruption
family,kids,animation,mentor,girlie movie
internet,original,good,pg-13,pornography
coming of age,original,runaway,weird,melancholic
original,gunfight,family,spelling bee,runaway
coming of age,original,homophobia,dark humor,oscar
weird,art house,melancholic,criterion,original
original,chase,pg-13,vengeance,suspense
original,weird,pornography,drama,melancholic
terrorism,original,propaganda,good,catastrophe
great movie,gunfight,intense,original,relationships
melancholic,original,children,mentor,childhood
teen movie,mentor,drama,original,family
original,dark humor,cinematography,good soundtrack,social commentary
original,storytelling,great acting,runaway,oscar (best directing)
action,gunfight,pg-13,chase,light
family,fantasy world,original,visually appealing,fantasy
original,teen movie,animation,light,doctors
original,gunfight,action,family,mentor
drama,original,melancholic,dark humor,excellent script
original,serial killer,scary,suspense,slasher
original,so bad it's funny,bad plot,natural disaster,predictable
animation,cartoon,family,pg-13,friendship
cinematography,beautiful scenery,original,visually appealing,good soundtrack
drama,mentor,girlie movie,oscar (best actress),culture clash
original,suspense,plot twist,violence,fight scenes
runaway,weird,melancholic,original,indie
original,drama,oscar,good soundtrack,suspense
original,violence,horror,supernatural,suspense
original,corruption,good soundtrack,weird,cinematography
social commentary,touching,mentor,heartwarming,great acting
original,dysfunctional family,relationships,criterion,depression
social commentary,original,oscar,storytelling,good
golden palm,cerebral,pornography,relationships,drinking
suspense,suspenseful,original,horror,intense
original,women,great ending,fight scenes,family
original,suspense,based on a book,apocalypse,pg-13
murder,pornography,original,suspense,sci fi
independent film,original,weird,family,music
visually appealing,original,visually stunning,superheroes,storytelling
family,original,fantasy world,fantasy,light
original,action,teen,pg-13,family
original,predictable,destiny,goofy,mentor
girlie movie,biographical,original,family,good
original,chase,corruption,pornography,complex
original,pg-13,murder,revenge,humor
original,biographical,interesting,good soundtrack,politics
girlie movie,teen movie,love,predictable,romantic comedy
action,pg-13,original,fantasy world,based on a book
nudity (topless - notable),original,silly fun,predictable,girlie movie
notable nudity,crude humor,suspenseful,original,fairy tale
runaway,friendship,coming of age,original,world politics
suspense,original,corruption,great movie,intense
documentary,mentor,storytelling,good,original
original,destiny,fantasy,excellent script,goofy
original,pg-13,predictable,franchise,bad cgi
family,action,adventure,friendship,pg-13
original,pg-13,technology,big budget,superheroes
family,fairy tale,spelling bee,parallel universe,original
girlie movie,goofy,teen movie,fun movie,dumb but funny
original,plot twist,pg-13,great ending,good
original,pg-13,visually appealing,good soundtrack,interesting
original,storytelling,foul language,good soundtrack,vengeance
original,mentor,great ending,twists & turns,amy smart
mentor,original,weird,storytelling,greed
original,drama,suspense,great ending,mentor
future,technology,action,visually appealing,dystopia
romantic comedy,original,family,teen movie,predictable
original,family,excellent script,goofy,violence
original,greed,suspense,revenge,gunfight
wilderness,original,nudity (full frontal - brief),melancholic,great ending
original,suspense,action,mentor,predictable
original,good soundtrack,suspense,destiny,pg-13
original,mentor,powerful ending,good,great acting
original,horror,pornography,violence,violent
original,goofy,chase,mentor,great ending
original,stylized,brutality,violent,vengeance
original,mentor,documentary,pg-13,good
original,predictable,great ending,brutality,pointless
original,suspense,creepy,visually appealing,plot twist
drama,original,teen movie,horror,greed
original,great acting,oscar (best directing),oscar,great ending
original,suspense,tense,oscar (best directing),vengeance
original,corruption,murder,twist,action
family,original,teens,light,mentor
spelling bee,teen movie,romantic comedy,life philosophy,original
teen movie,life & death,survival,girlie movie,catastrophe
pornography,original,dark humor,good soundtrack,criterion
weird,surreal,enigmatic,criterion,cerebral
original,suspense,chase,natural disaster,end of the world
original,silly fun,weird,pornography,sci-fi
family,death,original,horror,survival
original,suspense,spelling bee,suspenseful,chase
original,amazing photography,cinematography,oscar (best foreign language film),pornography
drama,oscar (best directing),dramatic,fight scenes,based on a true story
oscar (best actress),based on true story,true story,girlie movie,courage
original,mentor,nudity (topless),drugs,good soundtrack
family,original,fantasy world,life & death,predictable
original,coming of age,affectionate,friendship,runaway
original,predictable,greed,chase,mentor
biographical,runaway,mentor,original,oscar (best directing)
drama,original,corruption,crime,based on a true story
family,original,action,girlie movie,fantasy world
family,original,fantasy world,shallow,social commentary
family,friendship,original,pg-13,good
original,mentor,dynamic cgi action,good soundtrack,destiny
gunfight,visually appealing,action,assassin,mentor
action,original,pg-13,predictable,mentor
pg-13,sci-fi,scifi,franchise,predictable
violence,plot,animation,pg-13,action
original,adventure,fun,pg-13,mentor
girlie movie,family,friendship,touching,life philosophy
original,idiotic,graphic novel,pg-13,mentor
original,small town,social commentary,weird,great ending
women,original,relationships,view askew,friendship
original,pornography,gory,pg-13,brutality
original,mentor,greed,pornography,predictable
good acting,insanity,oscar,suspense,vengeance
original,mentor,corruption,absurd,great ending
pg-13,sci-fi,original,sequel,sci fi
children,original,family,friendship,touching
original,chase,pg-13,fast paced,murder
weird,surreal,original,horror,cinematography
goofy,family,comedy,original,very funny
technology,action,pg-13,visually appealing,superheroes
original,pg-13,family,destiny,mentor
betrayal,women,world politics,original,enormously long battle scene
original,scifi,drama,future,technology
original,technology,storytelling,romantic comedy,relationships
mentor,action,original,predictable,dialogue
loneliness,intellectual,original,life philosophy,cerebral
original,love story,pg-13,good action,teen movie
original,bullying,family,fantasy world,parallel universe
visually appealing,drama,stylized,good acting,great acting
social commentary,suspense,weird,original,visually appealing
